borough_name,rental_total_price2020,total_rental_count2020,rent_price_mean_one_room2020,rential_price_one_poroperty2020,housing_affordability2021
City of London,20500,10,2050,2050,10.17
Barking and Dagenham,708550,580,595.42,1221.64,16.1
Barnet,2323010,1580,725.94,1470.26,10.51
Bexley,965480,850,527.58,1135.86,15.97
Brent,1901470,1280,706.87,1485.52,12.14
Bromley,2535010,1900,645.04,1334.22,19.13
Camden,1582420,800,1180.91,1978.03,11.42
Croydon,1984090,1700,629.87,1167.11,15.36
Ealing,3694950,2330,810.3,1585.82,12.93
Enfield,1076520,820,640.79,1312.83,12.92
Greenwich,1376100,990,698.53,1390,15.96
Hackney,2647060,1430,948.77,1851.09,19.12
Hammersmith and Fulham,3463590,1680,1092.62,2061.66,15.33
Haringey,789380,490,789.38,1610.98,13.91
Harrow,1468670,1030,638.55,1425.89,11.15
Havering,1058540,890,542.84,1189.37,12.96
Hillingdon,2349580,1860,650.85,1263.22,14.15
Hounslow,2452110,1780,686.87,1377.59,14.61
Islington,780090,400,1098.72,1950.23,24.78
Kensington and Chelsea,5019380,1650,1678.72,3042.05,13.38
Kingston upon Thames,1081000,810,679.87,1334.57,13.75
Lambeth,2443470,1310,929.08,1865.24,13.43
Lewisham,1735790,1330,748.19,1305.11,15.97
Merton,2616280,1540,809.99,1698.88,12.4
Newham,2133820,1440,735.8,1481.82,13.23
Redbridge,1496400,1140,647.79,1312.63,16.61
Richmond upon Thames,3522760,1810,896.38,1946.28,14.68
Southwark,2095150,1220,931.18,1717.34,11.93
Sutton,1430190,1250,621.82,1144.15,13.03
Tower Hamlets,3105970,1730,1011.72,1795.36,13.99
Waltham Forest,1723380,1270,694.91,1356.99,14.66
Wandsworth,3568130,1850,903.32,1928.72,20.37
Westminster,3990490,1510,1571.06,2642.71,